controller1,100-node-dc01.tor01.ibm.com
controller2,100-node-dc02.tor01.ibm.com
compute1,100-node-kvm001.tor01.ibm.com
compute2,100-node-kvm002.tor01.ibm.com
compute3,100-node-kvm003.tor01.ibm.com
compute4,100-node-kvm004.tor01.ibm.com
compute5,100-node-kvm005.tor01.ibm.com
compute6,100-node-kvm006.tor01.ibm.com
compute7,100-node-kvm007.tor01.ibm.com
compute8,100-node-kvm008.tor01.ibm.com
compute9,100-node-kvm009.tor01.ibm.com
compute10,100-node-kvm010.tor01.ibm.com
compute11,100-node-kvm011.tor01.ibm.com
compute12,100-node-kvm012.tor01.ibm.com
compute13,100-node-kvm013.tor01.ibm.com
compute14,100-node-kvm014.tor01.ibm.com
compute15,100-node-kvm015.tor01.ibm.com
compute16,100-node-kvm016.tor01.ibm.com
compute17,100-node-kvm017.tor01.ibm.com
compute18,100-node-kvm018.tor01.ibm.com
compute19,100-node-kvm019.tor01.ibm.com
compute20,100-node-kvm020.tor01.ibm.com
compute21,100-node-kvm021.tor01.ibm.com
compute22,100-node-kvm022.tor01.ibm.com
compute23,100-node-kvm023.tor01.ibm.com
compute24,100-node-kvm024.tor01.ibm.com
compute25,100-node-kvm025.tor01.ibm.com
compute26,100-node-kvm026.tor01.ibm.com
compute27,100-node-kvm027.tor01.ibm.com
compute28,100-node-kvm028.tor01.ibm.com
compute29,100-node-kvm029.tor01.ibm.com
compute30,100-node-kvm030.tor01.ibm.com
compute31,100-node-kvm031-u4.tor01.ibm.com
compute32,100-node-kvm032-u4.tor01.ibm.com
